Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
7,Expansion+Mat110,Expansion+InfectionPressurex35,1,65,16.591,17.394
8,Expansion+InfectionPressurex35,Expansion+Mat110,1,200,29.859,6.686
9,Expansion+Mat110,Expansion+InfectionPressurex35,1,65,16.722,17.290
10,Expansion+InfectionPressurex35,Expansion+Mat110,1,200,30.161,6.696
1,Expansion+Mat110,Expansion+InfectionPressurex20+Mat100,1,71,30.736,28.299
2,Expansion+InfectionPressurex20+Mat100,Expansion+Mat110,2,200,11.460,34.005
3,Expansion+Mat110,Expansion+InfectionPressurex20+Mat100,1,71,30.592,28.488
4,Expansion+InfectionPressurex20+Mat100,Expansion+Mat110,2,200,11.521,34.099
5,Expansion+Mat110,Expansion+InfectionPressurex20+Mat100,1,71,30.613,28.851
6,Expansion+InfectionPressurex20+Mat100,Expansion+Mat110,2,200,11.322,34.343
7,Expansion+Mat110,Expansion+InfectionPressurex20+Mat100,1,71,30.239,28.767
8,Expansion+InfectionPressurex20+Mat100,Expansion+Mat110,2,200,11.308,34.133
9,Expansion+Mat110,Expansion+InfectionPressurex20+Mat100,1,71,30.545,28.502
10,Expansion+InfectionPressurex20+Mat100,Expansion+Mat110,2,200,11.241,34.374
1,Expansion+Mat110,Expansion+InfectionPressurex35+Mat100,1,71,30.650,28.676
2,Expansion+InfectionPressurex35+Mat100,Expansion+Mat110,2,200,11.253,34.654
3,Expansion+Mat110,Expansion+InfectionPressurex35+Mat100,1,71,30.458,28.154
4,Expansion+InfectionPressurex35+Mat100,Expansion+Mat110,2,200,11.205,34.491
5,Expansion+Mat110,Expansion+InfectionPressurex35+Mat100,1,71,30.549,28.665
6,Expansion+InfectionPressurex35+Mat100,Expansion+Mat110,2,200,11.299,34.190
7,Expansion+Mat110,Expansion+InfectionPressurex35+Mat100,1,71,30.585,28.548
8,Expansion+InfectionPressurex35+Mat100,Expansion+Mat110,2,200,11.218,34.003
9,Expansion+Mat110,Expansion+InfectionPressurex35+Mat100,1,71,30.398,28.175
10,Expansion+InfectionPressurex35+Mat100,Expansion+Mat110,2,200,11.236,34.003
1,Expansion+Mat130,Expansion+Mat150,1,71,30.320,22.821
2,Expansion+Mat150,Expansion+Mat130,1,71,30.686,22.729
3,Expansion+Mat130,Expansion+Mat150,1,71,30.440,22.783
4,Expansion+Mat150,Expansion+Mat130,1,71,30.510,22.763
5,Expansion+Mat130,Expansion+Mat150,1,71,30.472,22.767
6,Expansion+Mat150,Expansion+Mat130,1,71,30.275,22.728
7,Expansion+Mat130,Expansion+Mat150,1,71,30.588,22.986
8,Expansion+Mat150,Expansion+Mat130,1,71,30.335,22.985
9,Expansion+Mat130,Expansion+Mat150,1,71,30.463,22.803
10,Expansion+Mat150,Expansion+Mat130,1,71,30.294,22.487
