Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
5,Expansion+Mat80,Material+Mat80,1,200,29.233,2.974
6,Material+Mat80,Expansion+Mat80,1,200,8.574,3.557
7,Expansion+Mat80,Material+Mat80,1,200,28.926,2.884
8,Material+Mat80,Expansion+Mat80,1,200,8.757,3.673
9,Expansion+Mat80,Material+Mat80,1,200,28.794,2.887
10,Material+Mat80,Expansion+Mat80,1,200,8.519,3.592
1,Expansion+Mat80,Material+Mat120,1,200,29.757,2.925
2,Material+Mat120,Expansion+Mat80,1,200,8.519,3.590
3,Expansion+Mat80,Material+Mat120,1,200,29.586,2.925
4,Material+Mat120,Expansion+Mat80,1,200,8.686,3.619
5,Expansion+Mat80,Material+Mat120,1,200,29.349,2.914
6,Material+Mat120,Expansion+Mat80,1,200,8.505,3.586
7,Expansion+Mat80,Material+Mat120,1,200,28.752,2.866
8,Material+Mat120,Expansion+Mat80,1,200,8.707,3.702
9,Expansion+Mat80,Material+Mat120,1,200,28.965,2.922
10,Material+Mat120,Expansion+Mat80,1,200,8.518,3.730
1,Expansion+Mat120,Material+Mat80,1,200,29.136,2.921
2,Material+Mat80,Expansion+Mat120,1,200,8.465,3.556
3,Expansion+Mat120,Material+Mat80,1,200,29.167,2.909
4,Material+Mat80,Expansion+Mat120,1,200,8.548,3.542
5,Expansion+Mat120,Material+Mat80,1,200,30.664,3.000
6,Material+Mat80,Expansion+Mat120,1,200,8.532,3.582
7,Expansion+Mat120,Material+Mat80,1,200,28.813,2.887
8,Material+Mat80,Expansion+Mat120,1,200,9.011,3.634
9,Expansion+Mat120,Material+Mat80,1,200,28.690,2.871
10,Material+Mat80,Expansion+Mat120,1,200,9.005,3.815
1,Expansion+Mat120,Material+Mat120,1,200,28.960,2.926
2,Material+Mat120,Expansion+Mat120,1,200,8.604,3.588
3,Expansion+Mat120,Material+Mat120,1,200,29.355,2.881
4,Material+Mat120,Expansion+Mat120,1,200,8.585,3.572
5,Expansion+Mat120,Material+Mat120,1,200,29.510,2.923
6,Material+Mat120,Expansion+Mat120,1,200,8.583,3.589
7,Expansion+Mat120,Material+Mat120,1,200,28.991,2.907
8,Material+Mat120,Expansion+Mat120,1,200,8.911,3.727
9,Expansion+Mat120,Material+Mat120,1,200,28.684,2.870
10,Material+Mat120,Expansion+Mat120,1,200,8.661,3.698
1,Material+Mat80,Material+Mat120,2,62,16.947,13.640
2,Material+Mat120,Material+Mat80,2,62,17.129,13.911
3,Material+Mat80,Material+Mat120,2,62,17.170,13.937
4,Material+Mat120,Material+Mat80,2,62,16.928,13.554
5,Material+Mat80,Material+Mat120,2,62,17.184,13.714
6,Material+Mat120,Material+Mat80,2,62,16.981,13.579
7,Material+Mat80,Material+Mat120,2,62,16.966,13.777
8,Material+Mat120,Material+Mat80,2,62,17.467,14.247
9,Material+Mat80,Material+Mat120,2,62,16.945,13.755
10,Material+Mat120,Material+Mat80,2,62,17.481,13.911
