Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid+Mat120,Material+Mat120,2,60,13.746,9.133
2,Material+Mat120,Hybrid+Mat120,1,200,5.269,6.920
3,Hybrid+Mat120,Material+Mat120,2,60,13.692,9.062
4,Material+Mat120,Hybrid+Mat120,1,200,5.083,6.692
5,Hybrid+Mat120,Material+Mat120,2,60,13.701,9.074
6,Material+Mat120,Hybrid+Mat120,1,200,5.159,6.740
7,Hybrid+Mat120,Material+Mat120,2,60,13.719,9.130
8,Material+Mat120,Hybrid+Mat120,1,200,5.178,6.730
9,Hybrid+Mat120,Material+Mat120,2,60,13.721,9.114
10,Material+Mat120,Hybrid+Mat120,1,200,5.135,6.734
1,Material+Mat40,Material+Mat80,2,62,16.339,13.085
2,Material+Mat80,Material+Mat40,2,62,16.413,13.117
3,Material+Mat40,Material+Mat80,2,62,16.305,13.096
4,Material+Mat80,Material+Mat40,2,62,16.420,13.165
5,Material+Mat40,Material+Mat80,2,62,16.317,13.051
6,Material+Mat80,Material+Mat40,2,62,16.291,13.073
7,Material+Mat40,Material+Mat80,2,62,16.308,13.147
8,Material+Mat80,Material+Mat40,2,62,16.428,13.172
9,Material+Mat40,Material+Mat80,2,62,16.337,13.117
10,Material+Mat80,Material+Mat40,2,62,16.295,13.147
1,Material+Mat40,Material+Mat120,2,62,16.383,13.146
2,Material+Mat120,Material+Mat40,2,62,16.344,13.232
3,Material+Mat40,Material+Mat120,2,62,16.312,13.080
4,Material+Mat120,Material+Mat40,2,62,16.419,13.266
5,Material+Mat40,Material+Mat120,2,62,16.320,13.106
6,Material+Mat120,Material+Mat40,2,62,16.258,13.026
7,Material+Mat40,Material+Mat120,2,62,16.363,13.080
8,Material+Mat120,Material+Mat40,2,62,16.330,13.036
9,Material+Mat40,Material+Mat120,2,62,16.295,13.161
10,Material+Mat120,Material+Mat40,2,62,16.662,13.304
1,Material+Mat80,Material+Mat120,2,62,16.435,13.196
2,Material+Mat120,Material+Mat80,2,62,16.307,13.147
3,Material+Mat80,Material+Mat120,2,62,16.272,13.111
4,Material+Mat120,Material+Mat80,2,62,16.266,13.094
5,Material+Mat80,Material+Mat120,2,62,16.349,13.131
6,Material+Mat120,Material+Mat80,2,62,16.340,13.120
7,Material+Mat80,Material+Mat120,2,62,16.454,13.105
8,Material+Mat120,Material+Mat80,2,62,16.380,13.175
9,Material+Mat80,Material+Mat120,2,62,16.321,13.118
10,Material+Mat120,Material+Mat80,2,62,16.332,13.091
