Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
7,Expansion+Mat120+Mat100,Expansion+Mat80+Mat100,1,71,32.155,24.332
8,Expansion+Mat80+Mat100,Expansion+Mat120+Mat100,1,71,31.188,23.237
9,Expansion+Mat120+Mat100,Expansion+Mat80+Mat100,1,71,31.201,23.222
10,Expansion+Mat80+Mat100,Expansion+Mat120+Mat100,1,71,30.685,22.986
1,Expansion+Mat120+Mat100,Hybrid+Mat100,1,63,17.736,13.654
2,Hybrid+Mat100,Expansion+Mat120+Mat100,1,200,25.928,6.851
3,Expansion+Mat120+Mat100,Hybrid+Mat100,1,63,17.757,13.720
4,Hybrid+Mat100,Expansion+Mat120+Mat100,1,200,26.387,7.168
5,Expansion+Mat120+Mat100,Hybrid+Mat100,1,63,18.242,13.821
6,Hybrid+Mat100,Expansion+Mat120+Mat100,1,200,25.626,6.945
7,Expansion+Mat120+Mat100,Hybrid+Mat100,1,63,17.991,13.955
8,Hybrid+Mat100,Expansion+Mat120+Mat100,1,200,26.248,7.237
9,Expansion+Mat120+Mat100,Hybrid+Mat100,1,63,18.084,13.811
10,Hybrid+Mat100,Expansion+Mat120+Mat100,1,200,26.046,6.970
1,Expansion+Mat120+Mat100,Material+Mat100,1,200,29.085,2.922
2,Material+Mat100,Expansion+Mat120+Mat100,1,200,8.436,3.666
3,Expansion+Mat120+Mat100,Material+Mat100,1,200,29.278,2.992
4,Material+Mat100,Expansion+Mat120+Mat100,1,200,8.565,3.579
5,Expansion+Mat120+Mat100,Material+Mat100,1,200,29.489,2.848
6,Material+Mat100,Expansion+Mat120+Mat100,1,200,8.566,3.626
7,Expansion+Mat120+Mat100,Material+Mat100,1,200,29.297,2.888
8,Material+Mat100,Expansion+Mat120+Mat100,1,200,8.454,3.546
9,Expansion+Mat120+Mat100,Material+Mat100,1,200,28.595,2.848
10,Material+Mat100,Expansion+Mat120+Mat100,1,200,8.836,3.625
1,Expansion+Mat80+Mat100,Hybrid+Mat100,1,63,17.571,13.702
2,Hybrid+Mat100,Expansion+Mat80+Mat100,1,200,25.671,6.857
